state_abbr,year,state,expanded_medicaid,expansion_year,trump_2024,fips_state,total_plan_selections,avg_monthly_premium,avg_premium_after_aptc,pct_with_aptc,medicaid_chip_enrollment,uninsured_rate,total_population,total_uninsured,marketplace_yoy_change,marketplace_yoy_pct,growth_since_2020_pct
ME,2023,Maine,True,2019.0,False,23,63388.0,614.0,194.0,83.2,374920.0,5.91,1378322.0,81495.0,-2707.0,-4.1,2.2
ME,2024,Maine,True,2019.0,False,23,62586.0,707.0,229.0,83.7,345763.0,5.54,1386357.0,76864.0,-802.0,-1.3,0.9
ME,2025,Maine,True,2019.0,False,23,64678.0,758.0,245.0,84.7,337745.0,,,,2092.0,3.3,4.3
ME,2026,Maine,True,2019.0,False,23,58523.0,913.0,340.0,74.5,,,,,-6155.0,-9.5,-5.7
MI,2020,Michigan,True,2014.0,True,26,262919.0,480.0,176.0,82.9,2650886.0,,,,,,0.0
MI,2021,Michigan,True,2014.0,True,26,267070.0,480.0,192.0,81.0,2868500.0,4.98,9949959.0,495404.0,4151.0,1.6,1.6
MI,2022,Michigan,True,2014.0,True,26,303550.0,503.0,170.0,85.2,3048240.0,4.55,9929781.0,451480.0,36480.0,13.7,15.5
MI,2023,Michigan,True,2014.0,True,26,322273.0,521.0,164.0,86.8,2788242.0,4.51,9931639.0,448342.0,18723.0,6.2,22.6
MI,2024,Michigan,True,2014.0,True,26,418100.0,518.0,137.0,89.5,2395841.0,5.06,10033412.0,507760.0,95827.0,29.7,59.0
MI,2025,Michigan,True,2014.0,True,26,531083.0,540.0,131.0,91.1,2272434.0,,,,112983.0,27.0,102.0
MI,2026,Michigan,True,2014.0,True,26,497064.0,657.0,222.0,81.1,,,,,-34019.0,-6.4,89.1
MN,2020,Minnesota,True,2014.0,False,27,110042.0,444.0,285.0,54.2,1173856.0,,,,,,0.0
MN,2021,Minnesota,True,2014.0,False,27,112804.0,439.0,302.0,49.7,1278802.0,4.46,5651958.0,251824.0,2762.0,2.5,2.5
MN,2022,Minnesota,True,2014.0,False,27,121322.0,481.0,280.0,59.1,1380680.0,4.5,5657569.0,254423.0,8518.0,7.6,10.3
MN,2023,Minnesota,True,2014.0,False,27,118431.0,490.0,293.0,57.0,1358116.0,4.19,5678023.0,237786.0,-2891.0,-2.4,7.6
MN,2024,Minnesota,True,2014.0,False,27,135001.0,501.0,297.0,58.1,1169718.0,5.07,5732348.0,290828.0,16570.0,14.0,22.7
MN,2025,Minnesota,True,2014.0,False,27,151512.0,529.0,307.0,61.0,1147701.0,,,,16511.0,12.2,37.7
MN,2026,Minnesota,True,2014.0,False,27,139251.0,639.0,437.0,49.5,,,,,-12261.0,-8.1,26.5
MO,2020,Missouri,True,2021.0,True,29,202750.0,634.0,158.0,84.2,1022258.0,,,,,,0.0
MO,2021,Missouri,True,2021.0,True,29,215311.0,639.0,172.0,84.4,1186274.0,9.42,6063301.0,570898.0,12561.0,6.2,6.2
MO,2022,Missouri,True,2021.0,True,29,250341.0,629.0,137.0,90.2,1468978.0,8.58,6071333.0,520745.0,35030.0,16.3,23.5
MO,2023,Missouri,True,2021.0,True,29,257629.0,669.0,132.0,92.1,1420459.0,7.52,6094536.0,458315.0,7288.0,2.9,27.1
MO,2024,Missouri,True,2021.0,True,29,359369.0,650.0,92.0,94.0,1275036.0,7.73,6143552.0,474886.0,101740.0,39.5,77.2
MO,2025,Missouri,True,2021.0,True,29,417000.0,621.0,91.0,94.1,1250365.0,,,,57631.0,16.0,105.7
MO,2026,Missouri,True,2021.0,True,29,365734.0,724.0,173.0,86.5,,,,,-51266.0,-12.3,80.4
MS,2020,Mississippi,False,,True,28,98892.0,608.0,82.0,94.0,655264.0,,,,,,0.0
MS,2021,Mississippi,False,,True,28,110966.0,622.0,110.0,94.3,714730.0,11.89,2885936.0,343002.0,12074.0,12.2,12.2
MS,2022,Mississippi,False,,True,28,143014.0,618.0,72.0,96.4,770553.0,10.85,2872112.0,311574.0,32048.0,28.9,44.6
MS,2023,Mississippi,False,,True,28,183478.0,624.0,60.0,97.2,700646.0,10.35,2874290.0,297394.0,40464.0,28.3,85.5
MS,2024,Mississippi,False,,True,28,286410.0,616.0,36.0,98.1,605422.0,9.71,2883778.0,279879.0,102932.0,56.1,189.6
MS,2025,Mississippi,False,,True,28,338159.0,605.0,41.0,97.9,588268.0,,,,51749.0,18.1,241.9
MS,2026,Mississippi,False,,True,28,313392.0,816.0,131.0,95.4,,,,,-24767.0,-7.3,216.9
MT,2020,Montana,True,2016.0,True,30,43822.0,572.0,173.0,82.1,279013.0,,,,,,0.0
MT,2021,Montana,True,2016.0,True,30,44711.0,571.0,196.0,80.0,303304.0,8.22,1088496.0,89432.0,889.0,2.0,2.0
MT,2022,Montana,True,2016.0,True,30,51134.0,577.0,142.0,86.8,324866.0,8.26,1104997.0,91272.0,6423.0,14.4,16.7
MT,2023,Montana,True,2016.0,True,30,53860.0,610.0,186.0,86.3,242142.0,8.43,1115486.0,94075.0,2726.0,5.3,22.9
